['北京','北京', '2', '/beijing']
['辽宁', '北镇市', '718', '/beining']
['辽宁', '本溪', '60', '/benxi']
['辽宁', '本溪满族自治县', '703', '/benxixian']
['西藏', '比如县', '1941', '/biru']
['贵州', '毕节市', '264', '/bijieshi']
['贵州', '碧江区', '1770', '/tongren']
['西藏', '边坝县', '1959', '/bianba']
['云南', '宾川县', '1888', '/binchuan']
['黑龙江', '宾县', '768', '/binxian']
['广西', '宾阳县', '1531', '/binyang']
['陕西', '彬县', '2037', '/binxianshi']
['江苏', '滨海县', '849', '/binhai']
['山东', '滨州', '158', '/binzhou']
['西藏', '波密县', '1964', '/bomi']
['河北', '泊头市', '528', '/botou']
['黑龙江', '勃利县', '773', '/boli']
['安徽', '亳州', '124', '/bozhou']
['河南', '博爱县', '1232', '/boai']
['海南', '博鳌', '3618', '/boao']
['广西', '博白县', '1563', '/bobai']
['新疆', '博尔塔拉', '330', '/boertala']
['新疆', '博湖县', '2257', '/bohu']
['新疆', '博乐市', '2240', '/bole']
['广东', '博罗县', '1500', '/boluo']
['山东', '博山', '4433', '/boshan']
['山东', '博兴县', '1199', '/boxing']
['河北', '博野县', '516', '/boye']
['新疆', '布尔津县', '2276', '/buerjin']
['四川', '布拖县', '1730', '/butuo']
['河南', '泌阳县', '1308', '/miyang']
['陕西', '眉县', '2045', '/bjmeixian']
['贵州', '七星关区', '1762', '/bijie']
['河北', '清苑区', '502', '/bdqingyuan']
['河北', '易县', '503', '/bdyixian']
['浙江', '苍南', '911', '/cangnan']
['广西', '苍梧县', '1554', '/cangwu']
['四川', '苍溪县', '1617', '/cangxi']
['河北', '沧县', '532', '/cangxian']
['云南', '沧源佤族自治县', '1873', '/changyuanxian']
['河北', '沧州', '32', '/cangzhou']
['山东', '曹县', '1201', '/caoxian']
['贵州', '册亨县', '1813', '/ceheng']
['新疆', '策勒县', '2227', '/cele']
['贵州', '岑巩县', '1784', '/cengong']
['广西', '岑溪市', '1553', '/cenxi']
['湖南', '茶陵县', '1402', '/chaling']
['新疆', '察布查尔锡伯自治县', '2267', '/chabuchaer']
['内蒙古', '察哈尔右翼后旗', '3563', '/chayouhouqi']
['内蒙古', '察哈尔右翼前旗', '3561', '/chayouqianqi']
['内蒙古', '察哈尔右翼中旗', '3562', '/chayouzhongqi']
['西藏', '察雅县', '1954', '/chaya']
['西藏', '察隅县', '1965', '/chayu']
['西藏', '昌都市', '284', '/changdudiqu']
['新疆', '昌吉市', '2243', '/changji']
['新疆', '昌吉州', '329', '/changjizhou']
['海南', '昌江', '392', '/changjiang']
['山东', '昌乐县', '1152', '/cangle']
['河北', '昌黎县', '477', '/cangli']
['云南', '昌宁县', '1843', '/cangning']
['辽宁', '昌图县', '699', '/cangtu']
['山东', '昌邑市', '1146', '/cangyi']
['湖南', '常德', '197', '/changde']
['湖南', '常宁市', '1407', '/changning']
['浙江', '常山县', '889', '/changshan']
['江苏', '常熟', '417', '/changshu']
['江苏', '常州', '93', '/changzhou']
['安徽', '巢湖', '122', '/chaohu']
['辽宁', '朝阳', '68', '/chaoyang']
['辽宁', '朝阳县', '690', '/chaoyangxian']
['广东', '潮安区', '1490', '/chaoan']
['广东', '潮阳', '4438', '/chaoyangshantou']
['广东', '潮州', '221', '/chaozhou']
['湖南', '郴州', '200', '/chenzhou']
['湖南', '辰溪县', '1443', '/chenxi']
['内蒙古', '陈巴尔虎旗', '3554', '/chenhuqi']
['青海', '称多县', '2181', '/chenduo']
['河北', '成安县', '562', '/chengan']
['四川', '成都', '8', '/chengdu']
['山东', '成武县', '1203', '/chengwu']
['甘肃', '成县', '2132', '/chengxian']
['云南', '呈贡区', '1816', '/chenggong']
['河北', '承德', '31', '/chengde']
['河北', '承德县', '469', '/chengdexian']
['湖南', '城步苗族自治县', '1440', '/chengbu']
['陕西', '城固县', '2052', '/chenggu']
['陕西', '澄城县', '2027', '/chengcheng']
['广东', '澄海', '4439', '/chenghai']
['云南', '澄江县', '1833', '/chengjian']
['海南', '澄迈县', '393', '/chengmai']
['安徽', '池州', '125', '/chizhou']
['山东', '茌平县', '1125', '/chiping']
['湖北', '赤壁市', '1348', '/chibi']
['河北', '赤城县', '467', '/chicheng']
['内蒙古', '赤峰', '49', '/chifeng']
['贵州', '赤水市', '1745', '/chishui']
['河北', '崇礼县', '468', '/chongli']
['江西', '崇仁县', '1091', '/chongren']
['甘肃', '崇信县', '2122', '/chongxin']
['湖北', '崇阳县', '1351', '/chongyang']
['江西', '崇义县', '1066', '/chongyi']
['广西', '崇左', '394', '/chongzuo']
['安徽', '滁州', '119', '/chuzhou']
['云南', '楚雄市', '1898', '/chuxiong']
['云南', '楚雄州', '272', '/chuxiongzhou']
['浙江', '淳安县', '872', '/chunan']
['陕西', '淳化县', '2040', '/chunhua']
['湖南', '慈利县', '1380', '/cili']
['浙江', '慈溪', '421', '/cixi']
['河北', '磁县', '565', '/cixian']
['贵州', '从江县', '1791', '/congjian']
['西藏', '措美县', '1973', '/cuomei']
['西藏', '措勤县', '2003', '/cuoqin']
['西藏', '错那县', '1977', '/cuona']
['吉林', '长白朝鲜族自治县', '755', '/chengbai']
['吉林', '长白山', '3596', '/changbaishan']
['吉林', '长春', '70', '/changchun']
['山东', '长岛县', '1160', '/changdao']
['安徽', '长丰县', '920', '/changfeng']
['河南', '长葛市', '1268', '/changge']
['辽宁', '长海县', '432', '/changhai']
['福建', '长乐', '981', '/changle']
['吉林', '长岭县', '733', '/changling']
['四川', '长宁县', '1662', '/changningxian']
['湖南', '长沙', '344', '/changsha']
['贵州', '长顺县', '1803', '/changshun']
['福建', '长汀县', '1025', '/changting']
['陕西', '长武县', '2038', '/changwu']
['浙江', '长兴县', '873', '/changxing']
['湖北', '长阳土家族自治县', '1365', '/changyang']
['河南', '长垣县', '1242', '/changyuan']
['山西', '长治', '38', '/changzhi']
['山西', '长治县', '592', '/changzhixian']
['山西', '长子县', '598', '/changzi']
['西藏', '卡若区', '1949', '/changdu']
['湖南', '澧县', '1385', '/cdlixian']
['内蒙古', '新巴尔虎右旗', '3556', '/chenhuyouqi']
['内蒙古', '新巴尔虎左旗', '3555', '/chenhuzuoqi']
['福建', '长泰县', '1019', '/changtai']
['内蒙古', '达尔罕茂明安联合旗', '3530', '/daerhanqi']
['内蒙古', '达拉特旗', '3543', '/dalateqi']
['青海', '达日县', '2176', '/dari']
['四川', '达州', '251', '/dazhou']
['西藏', '达孜县', '1937', '/dazi']
['吉林', '大安市', '728', '/daan']
['河北', '大厂回族自治县', '496', '/dachang']
['河北', '大城县', '494', '/dacheng']
['贵州', '大方县', '1763', '/dafang']
['江苏', '大丰区', '846', '/dafeng']
['云南', '大关县', '1847', '/daguan']
['广西', '大化瑶族自治县', '1593', '/dahua']
['云南', '大理市', '3590', '/dalishi']
['云南', '大理州', '277', '/dali']
['陕西', '大荔县', '2025', '/dalixian']
['辽宁', '大连', '19', '/dalian']
['河北', '大名县', '563', '/daming']
['山西', '大宁县', '642', '/daning']
['广东', '大埔县', '1485', '/dapu']
['黑龙江', '大庆', '84', '/daqing']
['辽宁', '大石桥市', '713', '/dashiqiao']
['福建', '大田县', '1002', '/datian']
['青海', '大通回族土族自治县', '2156', '/datongzzxian']
['安徽', '大通区', '3503', '/datongqu']
['山西', '大同', '36', '/datong']
['山西', '大同县', '588', '/datongxian']
['辽宁', '大洼县', '715', '/dawa']
['湖北', '大悟县', '1335', '/dawu']
['广西', '大新县', '1571', '/daxin']
['黑龙江', '大兴安岭', '91', '/daxinganling']
['云南', '大姚县', '1903', '/dayao']
['湖北', '大冶市', '1346', '/daye']
['四川', '大邑县', '1611', '/dayi']
['四川', '大英县', '1642', '/daying']
['江西', '大余县', '1064', '/dayu']
['四川', '大竹县', '1677', '/dazhu']
['山西', '代县', '610', '/daixian']
['浙江', '岱山县', '881', '/daishan']
['四川', '丹巴县', '1708', '/danba']
['辽宁', '丹东', '61', '/dandong']
['陕西', '丹凤县', '2082', '/danfeng']
['湖北', '丹江口市', '1316', '/danjiangkou']
['四川', '丹棱县', '1685', '/danleng']
['江苏', '丹阳市', '864', '/danyang']
['贵州', '丹寨县', '1794', '/danzhai']
['河南', '郸城县', '1304', '/dancheng']
['海南', '儋州', '358', '/danzhou']
['安徽', '当涂县', '946', '/dangtou']
['西藏', '当雄县', '1933', '/dangxiong']
['湖北', '当阳市', '1361', '/dangyang']
['安徽', '砀山县', '923', '/dangshan']
['甘肃', '宕昌县', '2133', '/dangcang']
['四川', '道孚县', '1711', '/daofu']
['湖南', '道县', '1424', '/daoxian']
['贵州', '道真仡佬族苗族自治县', '1755', '/daozhen']
['四川', '稻城县', '1722', '/daocheng']
['四川', '得荣县', '1723', '/derong']
['江西', '德安县', '1047', '/dean']
['广西', '德保县', '1578', '/debao']
['四川', '德昌县', '1725', '/decang']
['四川', '德格县', '1715', '/dege']
['云南', '德宏', '278', '/dehong']
['福建', '德化县', '1014', '/dehua']
['吉林', '德惠市', '724', '/dehui']
['贵州', '德江县', '1774', '/dejian']
['青海', '德令哈市', '2185', '/delingha']
['云南', '德钦县', '1884', '/deqin']
['浙江', '德清县', '874', '/deqing']
['广东', '德庆县', '1512', '/deqingxian']
['江西', '德兴市', '1077', '/dexing']
['四川', '德阳', '241', '/deyang']
['山东', '德州', '156', '/dezhou']
['辽宁', '灯塔市', '705', '/dengta']
['河南', '登封市', '1210', '/dengfeng']
['河南', '邓州市', '1280', '/dengzhou']
['内蒙古', '磴口县', '679', '/dengkou']
['云南', '迪庆', '281', '/diqing']
['广东', '电白区', '1523', '/dianbai']
['甘肃', '迭部县', '2152', '/diebu']
['西藏', '丁青县', '1953', '/dingqing']
['海南', '定安县', '395', '/dingan']
['陕西', '定边县', '2065', '/dingbian']
['西藏', '定结县', '1990', '/dingjie']
['江西', '定南县', '1069', '/dingnan']
['西藏', '定日县', '1982', '/dingri']
['山东', '定陶县', '1202', '/dingtao']
['甘肃', '定西', '309', '/dingxi']
['山西', '定襄县', '608', '/dingxiang']
['河北', '定兴县', '506', '/dingxing']
['安徽', '定远县', '944', '/dingyuan']
['河北', '定州市', '497', '/dingzhou']
['山东', '东阿县', '1126', '/donga']
['湖南', '东安县', '1423', '/dongan']
['海南', '东方', '396', '/dongfang']
['吉林', '东丰县', '745', '/dongfeng']
['辽宁', '东港市', '711', '/donggang']
['广东', '东莞', '219', '/dongguan']
['河北', '东光县', '534', '/dongguang']
['江苏', '东海县', '836', '/donghai']
['广西', '东兰县', '1590', '/donglan']
['吉林', '东辽县', '746', '/dongliao']
['山东', '东明县', '1208', '/dongming']
['黑龙江', '东宁市', '813', '/dongning']
['山东', '东平县', '1194', '/dongping']
['江苏', '东台市', '845', '/dongtai']
['内蒙古', '东乌珠穆沁旗', '3571', '/dongwuqinqi']
['江西', '东乡县', '1096', '/dongxiang']
['甘肃', '东乡族自治县', '2146', '/dongxiangzu']
['广西', '东兴市', '1567', '/dongxing']
['浙江', '东阳', '894', '/dongyang']
['山东', '东营', '147', '/dongying']
['广东', '东源县', '1482', '/dongyuan']
['安徽', '东至县', '972', '/dongzhi']
['湖南', '洞口县', '1437', '/dongkou']
['广西', '都安瑶族自治县', '1592', '/duan']
['江西', '都昌县', '1049', '/ducang']
['四川', '都江堰市', '1604', '/dujiangyan']
['青海', '都兰县', '2187', '/dulan']
['贵州', '都匀市', '1795', '/duyun']
['广东', '斗门', '4442', '/doumen']
['贵州', '独山县', '1800', '/dushan']
['黑龙江', '杜尔伯特蒙古族自治县', '791', '/duerbote']
['西藏', '堆龙德庆区', '1936', '/duilongdeqing']
['吉林', '敦化市', '757', '/dunhua']
['甘肃', '敦煌市', '2103', '/dunhuang']
['内蒙古', '多伦县', '683', '/duolun']
['辽宁', '调兵山市', '695', '/diaobingshan']
['山东', '单县', '1204', '/danxian']
['福建', '东山县', '1020', '/dongshan']
['四川', '峨边彝族自治县', '1651', '/ebian']
['四川', '峨眉山市', '1646', '/emeishan']
['云南', '峨山彝族自治县', '1837', '/eshan']
['内蒙古', '额尔古纳市', '671', '/eerguna']
['内蒙古', '额济纳旗', '3579', '/ejinaqi']
['新疆', '额敏县', '2270', '/emin']
['内蒙古', '鄂尔多斯', '51', '/eerduosi']
['内蒙古', '鄂伦春自治旗', '3552', '/elunchunqi']
['内蒙古', '鄂托克旗', '3546', '/eqi']
['内蒙古', '鄂托克前旗', '3545', '/eqianqi']
['内蒙古', '鄂温克族自治旗', '3553', '/ewenkeqi']
['湖北', '鄂州', '181', '/ezhou']
['广东', '恩平市', '1503', '/enping']
['湖北', '恩施', '188', '/enshizhou']
['湖北', '恩施市', '1368', '/enshi']
['云南', '洱源县', '1892', '/eryuan']
['内蒙古', '二连浩特市', '682', '/erlianhaote']
['辽宁', '法库县', '687', '/fakun']
['安徽', '繁昌县', '948', '/fancang']
['山西', '繁峙县', '611', '/fanzhi']
['河南', '范县', '1252', '/fanxian']
['河南', '方城县', '1282', '/fangcheng']
['山西', '方山县', '652', '/fangshan']
['广西', '防城港', '229', '/fangchenggang']
['湖北', '房县', '1319', '/fangxian']
['山东', '肥城市', '1192', '/feicheng']
['安徽', '肥东县', '921', '/feidong']
['安徽', '肥西县', '922', '/feixi']
['河北', '肥乡县', '566', '/feixiang']
['山东', '费县', '1177', '/feixian']
['江西', '分宜县', '1056', '/fenyi']
['山西', '汾西县', '645', '/fenxi']
['山西', '汾阳市', '647', '/fengyang']
['江西', '丰城市', '1098', '/fengchengshi']
['河北', '丰宁满族自治县', '474', '/fengning']
['广东', '丰顺县', '1486', '/fengshun']
['江苏', '丰县', '833', '/fengxian']
['内蒙古', '丰镇市', '672', '/fengzhen']
['广东', '封开县', '1511', '/fengkai']
['河南', '封丘县', '1241', '/fengqiu']
['辽宁', '凤城市', '710', '/fengcheng']
['贵州', '凤冈县', '1751', '/fenggang']
['湖南', '凤凰县', '1458', '/fenghuang']
['云南', '凤庆县', '1867', '/fengqing']
['广西', '凤山县', '1589', '/fengshan']
['安徽', '凤台县', '939', '/fengtai']
['陕西', '凤县', '2049', '/fengxianxian']
['陕西', '凤翔县', '2042', '/fengxiang']
['安徽', '凤阳县', '945', '/fengyangxian']
['浙江', '奉化', '422', '/fenghua']
['江西', '奉新县', '1101', '/fengxin']
['广东', '佛冈县', '1466', '/fogang']
['陕西', '佛坪县', '2060', '/fopin']
['广东', '佛山', '208', '/foshan']
['陕西', '扶风县', '2044', '/fufeng']
['河南', '扶沟县', '1299', '/fugou']
['广西', '扶绥县', '1570', '/fusui']
['吉林', '扶余市', '732', '/fuyu']
['江西', '浮梁县', '1053', '/fuliang']
['山西', '浮山县', '638', '/fushan']
['福建', '福安市', '1030', '/fuan']
['福建', '福鼎', '1031', '/fuding']
['云南', '福贡县', '1880', '/fugong']
['新疆', '福海县', '2278', '/fuhai']
['福建', '福清', '433', '/fuqing']
['贵州', '福泉市', '1796', '/fuquan']
['福建', '福州', '14', '/fuzhou']
['河北', '抚宁区', '478', '/funing']
['辽宁', '抚顺', '59', '/fushun']
['辽宁', '抚顺县', '700', '/lnfushunxian']
['吉林', '抚松县', '753', '/fusong']
['黑龙江', '抚远县', '801', '/fuyuan']
['江西', '抚州', '143', '/jiangxifuzhou']
['陕西', '府谷县', '2062', '/fugu']
['河北', '阜城县', '527', '/fucheng']
['新疆', '阜康市', '2244', '/fukang']
['安徽', '阜南县', '934', '/funan']
['江苏', '阜宁县', '848', '/funing']
['河北', '阜平县', '515', '/fuping']
['辽宁', '阜新', '64', '/fuxin']
['辽宁', '阜新蒙古族自治县', '694', '/fuxinxian']
['安徽', '阜阳', '120', '/fuyang']
['广西', '富川瑶族自治县', '1603', '/fuchuan']
['浙江', '富春江', '3601', '/fuchunjiang']
['黑龙江', '富锦市', '797', '/fujin']
['云南', '富民县', '1818', '/fumin']
['云南', '富宁县', '1931', '/wszfuning']
['陕西', '富平县', '2030', '/fupingxian']
['四川', '富顺县', '1654', '/fushunxian']
['陕西', '富县', '2015', '/fuxian']
['浙江', '富阳区', '869', '/fuyangfy']
['黑龙江', '富裕县', '779', '/fuyuxian']
['云南', '富源县', '1827', '/fuyuanxian']
['新疆', '富蕴县', '2277', '/fuyun']
['辽宁', '清原满族自治县', '702', '/fsqingyuan']
['西藏', '噶尔县', '1997', '/geer']
['西藏', '改则县', '2002', '/gaize']
['辽宁', '盖州市', '714', '/gaizhou']
['青海', '甘德县', '2175', '/gande']
['甘肃', '甘谷县', '2096', '/gangu']
['四川', '甘洛县', '1736', '/ganluo']
['甘肃', '甘南', '312', '/gannanzhou']
['黑龙江', '甘南县', '778', '/gannan']
['陕西', '甘泉县', '2014', '/ganquan']
['四川', '甘孜县', '1713', '/ganzixian']
['四川', '甘孜州', '256', '/ganzi']
['江西', '赣县', '1062', '/ganxian']
['江苏', '赣榆区', '834', '/ganyu']
['江西', '赣州', '140', '/ganzhou']
['青海', '刚察县', '2167', '/gangcha']
['西藏', '岗巴县', '1996', '/gangba']
['甘肃', '皋兰县', '2088', '/gaolan']
['江西', '高安市', '1100', '/gaoan']
['河北', '高碑店市', '500', '/gaopaidian']
['新疆', '高昌区', '2230', '/tulufan']
['陕西', '高陵区', '2007', '/gaoling']
['山东', '高密市', '1147', '/gaomi']
['山西', '高平市', '602', '/gaoping']
['山东', '高青县', '1143', '/gaoqing']
['甘肃', '高台县', '2110', '/gaotai']
['山东', '高唐县', '1128', '/gaotang']
['四川', '高县', '1663', '/gaoxian']
['河北', '高阳县', '511', '/gaoyang']
['广东', '高要区', '1507', '/gaoyao']
['河北', '高邑县', '449', '/gaoyi']
['江苏', '高邮市', '426', '/gaoyou']
['广东', '高州市', '1522', '/gaozhou']
['河北', '藁城区', '440', '/gaocheng']
['西藏', '革吉县', '2001', '/geji']
['青海', '格尔木市', '353', '/geermu']
['云南', '个旧市', '1912', '/gejiu']
['内蒙古', '根河市', '670', '/genhe']
['云南', '耿马傣族佤族自治县', '1872', '/genma']
['西藏', '工布江达县', '1961', '/gongbujiangda']
['湖北', '公安县', '1357', '/gongan']
['吉林', '公主岭市', '742', '/gongzhuling']
['广西', '恭城瑶族自治县', '1546', '/gongcheng']
['新疆', '巩留县', '2262', '/gongliu']
['河南', '巩义市', '1212', '/gongyi']
['四川', '珙县', '1665', '/gongxian']
['青海', '共和县', '2303', '/gonghe']
['江西', '共青城市', '3585', '/gongqingcheng']
['西藏', '贡嘎县', '1969', '/gongga']
['西藏', '贡觉县', '1951', '/gongjue']
['云南', '贡山独龙族怒族自治县', '1881', '/gongshan']
['河北', '沽源县', '459', '/guyuanxian']
['山西', '古交市', '574', '/gujiao']
['甘肃', '古浪县', '2100', '/gulang']
['四川', '古蔺县', '1658', '/gulin']
['福建', '古田县', '1036', '/gutian']
['山西', '古县', '636', '/guxian']
['湖南', '古丈县', '1461', '/guzhang']
['湖北', '谷城县', '1326', '/guchengxian']
['福建', '鼓浪屿', '3613', '/gulangyu']
['河北', '固安县', '491', '/guan']
['河南', '固始县', '1294', '/gushi']
['内蒙古', '固阳县', '662', '/guyang']
['宁夏', '固原', '324', '/guyuan']
['安徽', '固镇县', '938', '/guzhen']
['河北', '故城县', '525', '/gucheng']
['甘肃', '瓜州县', '2105', '/anxixian']
['贵州', '关岭布依族苗族自治县', '1759', '/guanling']
['河北', '馆陶县', '571', '/guantao']
['山东', '冠县', '1127', '/guanxian']
['江苏', '灌南县', '837', '/guannan']
['广西', '灌阳县', '1541', '/guanyang']
['江苏', '灌云县', '835', '/guanyun']
['河南', '光山县', '1293', '/guangshan']
['福建', '光泽县', '994', '/guangze']
['四川', '广安', '250', '/guangan']
['江西', '广昌县', '1097', '/guangcang']
['安徽', '广德县', '977', '/guangde']
['江西', '广丰区', '1079', '/guangfeng']
['四川', '广汉市', '1626', '/guanghan']
['甘肃', '广河县', '2144', '/guanghe']
['山西', '广灵县', '584', '/guangling']
['云南', '广南县', '1930', '/guangnan']
['广东', '广宁县', '1509', '/guangning']
['河北', '广平县', '570', '/guangping']
['山东', '广饶县', '1141', '/guangrao']
['湖北', '广水市', '1367', '/guangshui']
['四川', '广元', '243', '/guangyuan']
['广东', '广州', '4', '/guangzhou']
['河北', '广宗县', '554', '/guangzong']
['青海', '贵德县', '2305', '/guide']
['贵州', '贵定县', '1798', '/guiding']
['广西', '贵港', '231', '/guigang']
['青海', '贵南县', '2307', '/guinan']
['江西', '贵溪市', '1054', '/guixi']
['贵州', '贵阳', '258', '/guiyang']
['湖南', '桂东县', '1421', '/guidong']
['广西', '桂林', '226', '/guilin']
['广西', '桂平市', '1557', '/guiping']
['湖南', '桂阳县', '1415', '/guiyangxian']
['青海', '果洛', '318', '/guoluo']
['安徽', '涡阳县', '928', '/woyang']
['四川', '乡城县', '1721', '/gzzxiangcheng']
['广西', '玉林', '232', '/guangxiyulin']
['新疆', '哈巴河县', '2279', '/habahe']
['黑龙江', '哈尔滨', '79', '/haerbin']
['新疆', '哈密地区', '328', '/hamidiqu']
['新疆', '哈密市', '2233', '/hami']
['江苏', '海安县', '862', '/haian']
['青海', '海北', '315', '/haibei']
['辽宁', '海城市', '707', '/haicheng']
['青海', '海东', '314', '/haidong']
['广东', '海丰县', '1498', '/haifeng']
['海南', '海口', '23', '/haikou']
['黑龙江', '海林市', '811', '/hailin']
['黑龙江', '海伦市', '817', '/hailun']
['江苏', '海门市', '857', '/haimen']
['青海', '海南州', '411', '/hainanzhou']
['浙江', '海宁市', '877', '/haining']
['青海', '海西', '320', '/haixi']
['河北', '海兴县', '535', '/haixing']
['浙江', '海盐县', '880', '/haiyan']
['青海', '海晏县', '2165', '/haiyanxian']
['山东', '海阳市', '1154', '/haiyang']
['宁夏', '海原县', '3593', '/haiyuanxian']
['河北', '邯郸', '27', '/handan']
['河北', '邯郸县', '560', '/handanxian']
['安徽', '含山县', '970', '/hanshan']
['陕西', '韩城市', '2022', '/hancheng']
['湖北', '汉川市', '1333', '/hanchuan']
['湖南', '汉寿县', '1384', '/hanshou']
['陕西', '汉阴县', '2072', '/hanyin']
['四川', '汉源县', '1689', '/hanyuan']
['陕西', '汉中', '295', '/hanzhong']
['内蒙古', '杭锦后旗', '3560', '/hangjinhouqi']
['内蒙古', '杭锦旗', '3547', '/hangjinqi']
['浙江', '杭州', '3', '/hangzhou']
['安徽', '合肥', '110', '/hefei']
['四川', '合江县', '1656', '/hejianxian']
['广西', '合浦县', '1566', '/hepu']
['广西', '合山市', '1596', '/heshanshi']
['甘肃', '合水县', '2116', '/heshui']
['陕西', '合阳县', '2029', '/heyang']
['甘肃', '合作市', '2148', '/hezuo']
['新疆', '和布克赛尔蒙古自治县', '2274', '/hebukesaier']
['新疆', '和静县', '2255', '/hejing']
['内蒙古', '和林格尔县', '660', '/helingeer']
['吉林', '和龙市', '759', '/heliu']
['广东', '和平县', '1481', '/heping']
['山西', '和顺县', '623', '/heshun']
['新疆', '和硕县', '2256', '/heshuo']
['新疆', '和田地区', '335', '/hetiandiqu']
['新疆', '和田市', '2222', '/hetian']
